Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
?,?,eth1/1/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/1/2,47-53-59-60,,,,0,0
?,?,eth1/1/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/1/4,47-53-59-60,,,,0,0
?,?,eth1/1/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/1/6,47-53-59-60,,,,0,0
?,?,eth1/1/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/1/8,47-53-59-60,,,,0,0
?,?,eth1/2/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/2/2,47-53-59-60,,,,0,0
?,?,eth1/2/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/2/4,47-53-59-60,,,,0,0
?,?,eth1/2/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/2/6,47-53-59-60,,,,0,0
?,?,eth1/2/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/2/8,47-53-59-60,,,,0,0
?,?,eth1/3/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/3/2,47-53-59-60,,,,0,0
?,?,eth1/3/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/3/4,47-53-59-60,,,,0,0
?,?,eth1/3/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/3/6,47-53-59-60,,,,0,0
?,?,eth1/3/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/3/8,47-53-59-60,,,,0,0
?,?,eth1/4/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/4/2,47-53-59-60,,,,0,0
?,?,eth1/4/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/4/4,47-53-59-60,,,,0,0
?,?,eth1/4/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/4/6,47-53-59-60,,,,0,0
?,?,eth1/4/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/4/8,47-53-59-60,,,,0,0
?,?,eth1/5/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/5/2,47-53-59-60,,,,0,0
?,?,eth1/5/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/5/4,47-53-59-60,,,,0,0
?,?,eth1/5/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/5/6,47-53-59-60,,,,0,0
?,?,eth1/5/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/5/8,47-53-59-60,,,,0,0
?,?,eth1/6/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/6/2,47-53-59-60,,,,0,0
?,?,eth1/6/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/6/4,47-53-59-60,,,,0,0
?,?,eth1/6/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/6/6,47-53-59-60,,,,0,0
?,?,eth1/6/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/6/8,47-53-59-60,,,,0,0
?,?,eth1/7/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/7/2,47-53-59-60,,,,0,0
?,?,eth1/7/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/7/4,47-53-59-60,,,,0,0
?,?,eth1/7/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/7/6,47-53-59-60,,,,0,0
?,?,eth1/7/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/7/8,47-53-59-60,,,,0,0
?,?,eth1/8/1,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/8/2,47-53-59-60,,,,0,0
?,?,eth1/8/3,47-51-53-58-59-60,,,,0,0
?,?,eth1/8/4,47-53-59-60,,,,0,0
?,?,eth1/8/5,38-45-47-51-52-53-57-58-59-60,,,,0,0
?,?,eth1/8/6,47-53-59-60,,,,0,0
?,?,eth1/8/7,47-51-53-58-59-60,,,,0,0
?,?,eth1/8/8,47-53-59-60,,,,0,0
