A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,CHENAB2_NIF,0,0,0,N,N,1,1,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB2_NIF,1,1,1,N,N,1,1,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB2_NIF,2,2,2,N,Y,1,1,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB2_NIF,3,3,3,Y,N,1,1,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB2_NIF,4,4,4,Y,Y,1,1,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB2_NIF,5,5,5,Y,N,1,1,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB2_NIF,6,6,6,Y,Y,1,1,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB2_NIF,7,7,7,N,Y,1,1,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,0,CHENAB2_NIF,8,8,8,Y,N,1,2,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,0,CHENAB2_NIF,9,9,9,N,Y,1,2,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,0,CHENAB2_NIF,10,10,10,Y,Y,1,2,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,0,CHENAB2_NIF,11,11,11,N,N,1,2,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,0,CHENAB2_NIF,12,12,12,Y,Y,1,2,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,0,CHENAB2_NIF,13,13,13,N,N,1,2,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,0,CHENAB2_NIF,14,14,14,N,Y,1,2,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,0,CHENAB2_NIF,15,15,15,Y,Y,1,2,TRANSCEIVER,0,OSFP,7,7,7,N,N
